of the,2799
in the,1888
respiratory syndrome,1434
of a,1259
acute respiratory,961
analysis of,853
syndrome coronavirus,811
in a,758
detection of,722
for the,716
middle east,693
severe acute,690
east respiratory,657
influenza a,656
virus infection,636
characterization of,584
of human,576
novel coronavirus,574
covid 19,541
a novel,526
infection in,515
identification of,505
associated with,463
role of,451
and the,441
public health,412
on the,412
patients with,397
sars cov,387
to the,382
infections in,381
as a,381
mers cov,367
influenza virus,366
evaluation of,363
in china,355
of influenza,352
respiratory tract,339
t cell,339
of respiratory,333
infectious diseases,322
response to,322
from the,317
2019 ncov,312
porcine epidemic,310
hiv 1,308
virus in,307
of viral,304
a virus,302
development of,301
epidemic diarrhea,299
in children,293
diarrhea virus,293
in vitro,284
of sars,271
ebola virus,271
infectious bronchitis,270
infectious disease,265
respiratory syncytial,264
syncytial virus,263
of porcine,262
hepatitis virus,261
viruses in,258
of novel,257
of an,255
real time,254
respiratory viruses,253
by the,250
of severe,248
2019 novel,248
mouse hepatitis,243
in vivo,242
coronavirus infection,239
during the,237
with a,234
of middle,232
impact of,229
bronchitis virus,227
of infectious,227
sars coronavirus,226
and its,224
avian influenza,223
study of,222
a new,219
effects of,219
in mice,216
comparison of,214
based on,214
virus and,213
infection of,212
expression of,212
spike protein,211
effect of,209
human coronavirus,209
virus replication,205
and respiratory,205
t cells,204
is a,203
the role,202
treatment of,201
evolution of,200
in human,199
with the,197
by a,194
use of,194
pandemic influenza,194
outbreak in,190
c virus,190
disease in,188
transmission of,187
infected with,187
hepatitis c,187
viral infections,187
inhibition of,186
respiratory infections,185
of coronavirus,183
and characterization,182
type i,181
in patients,181
activity of,179
cov 2,174
infection and,171
diagnosis of,170
gene expression,169
coronavirus in,169
of 2019,165
for detection,163
immune response,162
from a,161
zika virus,161
a case,160
syndrome virus,160
assay for,159
children with,158
structure of,157
regulation of,157
epithelial cells,157
murine coronavirus,156
systematic review,156
viral infection,155
of acute,154
implications for,153
immune responses,151
hong kong,150
control of,150
domain of,149
reproductive and,149
required for,149
a h1n1,149
porcine reproductive,149
transmissible gastroenteritis,148
protein of,148
tract infections,148
and other,148
a systematic,147
with acute,147
activation of,147
and in,147
respiratory disease,145
of virus,144
in an,143
cd8 t,143
detection and,142
united states,141
emerging infectious,140
review of,139
coronavirus 2019,139
outbreak of,136
the human,136
at the,136
coronavirus disease,135
induced by,135
the sars,135
and clinical,135
dengue virus,135
model of,134
of mers,134
innate immune,134
pneumonia in,134
saudi arabia,133
characteristics of,131
coronavirus pneumonia,131
and their,130
efficacy of,130
monoclonal antibodies,128
spread of,127
type 1,126
virus type,126
coronavirus spike,126
respiratory viral,125
cells and,124
of host,124
virus induced,123
for a,123
of mouse,122
responses to,121
and viral,121
with respiratory,120
assessment of,119
as an,118
using a,118
of covid,118
i interferon,118
disease virus,118
involved in,118
dynamics of,118
risk of,116
nucleocapsid protein,116
the coronavirus,116
of rna,115
receptor binding,115
and control,114
case of,113
replication and,113
respiratory virus,113
nervous system,113
rna viruses,113
influenza viruses,112
risk factors,112
of avian,112
viruses and,111
global health,110
central nervous,110
a review,109
into the,109
in korea,108
prevalence of,108
responses in,108
rna virus,108
insights into,107
health care,107
the 2019,107
response in,107
virus disease,106
